model,file_id,total_gold_facts,total_gen_facts,omission_rate,contradiction_rate,addition_rate,total_error_score
gpt-4.1,day5_consultation03.txt,31,34,0.129,0.0294,0.5,0.6584
gpt-4.1,day5_consultation04.txt,30,27,0.4,0.1481,0.4074,0.9555
gpt-4.1,day5_consultation05.txt,26,40,0.3462,0.025,0.425,0.7962
gpt-4.1,day5_consultation06.txt,36,45,0.6111,0.0222,0.6,1.2332999999999998
gpt-4.1,day5_consultation07.txt,34,37,0.5588,0.0541,0.4595,1.0724
gpt-4.1,day5_consultation08.txt,35,33,0.2571,0.0909,0.1515,0.49949999999999994
gpt-4.1,day5_consultation10.txt,35,41,0.2,0.122,0.2927,0.6147
gpt-4.1,day5_consultation11.txt,39,34,0.2308,0.0294,0.2647,0.5248999999999999
gpt-4.1,day5_consultation12.txt,29,31,0.3448,0.0323,0.6129,0.99
gpt-4.1-mini,day1_consultation02.txt,19,24,0.5789,0.0833,0.4583,1.1205
gpt-4.1-mini,day1_consultation03.txt,22,26,0.3182,0.0,0.3846,0.7028
gpt-4.1-mini,day1_consultation04.txt,22,31,0.4091,0.0645,0.3871,0.8607
gpt-4.1-mini,day1_consultation05.txt,21,26,0.2381,0.0769,0.2308,0.5458000000000001
gpt-4.1-mini,day1_consultation06.txt,23,38,0.4348,0.1842,0.3158,0.9348000000000001
gpt-4.1-mini,day1_consultation07.txt,18,28,0.3333,0.0714,0.2857,0.6904
gpt-4.1-mini,day1_consultation08.txt,23,28,0.4783,0.1429,0.2857,0.9069
gpt-4.1-mini,day1_consultation09.txt,24,35,0.2917,0.0286,0.1714,0.4917
gpt-4.1-mini,day1_consultation10.txt,22,26,0.2727,0.0,0.3846,0.6573
gpt-4.1-mini,day1_consultation12.txt,22,32,0.1818,0.125,0.25,0.5568
gpt-4.1-mini,day1_consultation14.txt,20,31,0.2,0.129,0.2581,0.5871
gpt-4.1-mini,day1_consultation15.txt,17,21,0.1765,0.0476,0.1905,0.41459999999999997
gpt-4.1-mini,day2_consultation01.txt,12,11,0.25,0.0909,0.4545,0.7954
gpt-4.1-mini,day2_consultation06.txt,22,27,0.3636,0.1111,0.5185,0.9932
gpt-4.1-mini,day2_consultation07.txt,26,26,0.4231,0.0769,0.4231,0.9231
gpt-4.1-mini,day2_consultation08.txt,32,27,0.25,0.037,0.1481,0.4351
gpt-4.1-mini,day2_consultation09.txt,25,26,0.16,0.0,0.2692,0.4292
gpt-4.1-mini,day2_consultation10.txt,33,30,0.0909,0.0,0.2333,0.3242
gpt-4.1-mini,day3_consultation01.txt,17,19,0.3529,0.0526,0.1053,0.5107999999999999
gpt-4.1-mini,day3_consultation02.txt,25,28,0.08,0.0357,0.3571,0.4728
gpt-4.1-mini,day3_consultation03.txt,21,32,0.381,0.0938,0.4688,0.9436
gpt-4.1-mini,day3_consultation04.txt,25,24,0.68,0.1667,0.6667,1.5133999999999999
gpt-4.1-mini,day3_consultation05.txt,19,25,0.1579,0.08,0.56,0.7979
gpt-4.1-mini,day3_consultation06.txt,13,15,0.3846,0.1333,0.3333,0.8512
gpt-4.1-mini,day3_consultation07.txt,28,34,0.0714,0.0,0.2941,0.3655
gpt-4.1-mini,day3_consultation08.txt,17,16,0.1176,0.0,0.3125,0.4301
gpt-4.1-mini,day3_consultation09.txt,22,26,0.1818,0.0769,0.4231,0.6818
gpt-4.1-mini,day3_consultation10.txt,25,26,0.16,0.0385,0.1923,0.39080000000000004
gpt-4.1-mini,day4_consultation01.txt,19,27,0.4211,0.037,0.5556,1.0137
gpt-4.1-mini,day4_consultation02.txt,28,30,0.3929,0.0333,0.5333,0.9595
gpt-4.1-mini,day4_consultation03.txt,17,22,0.6471,0.1364,0.6364,1.4199
gpt-4.1-mini,day4_consultation04.txt,17,19,0.2353,0.0,0.5263,0.7616
gpt-4.1-mini,day4_consultation05.txt,21,20,0.1905,0.0,0.35,0.5405
gpt-4.1-mini,day4_consultation06.txt,32,19,0.2812,0.0,0.1053,0.3865
gpt-4.1-mini,day4_consultation07.txt,22,37,0.4545,0.2162,0.3784,1.0491000000000001
gpt-4.1-mini,day4_consultation08.txt,23,24,0.3913,0.0,0.4167,0.808
gpt-4.1-mini,day4_consultation09.txt,27,32,0.1852,0.0,0.4375,0.6227
gpt-4.1-mini,day4_consultation10.txt,27,27,0.1852,0.1852,0.2593,0.6296999999999999
gpt-4.1-mini,day5_consultation01.txt,39,28,0.3077,0.1071,0.1786,0.5933999999999999
gpt-4.1-mini,day5_consultation02.txt,27,29,0.2222,0.0,0.1034,0.3256
gpt-4.1-mini,day5_consultation03.txt,31,26,0.2903,0.0,0.1538,0.4441
gpt-4.1-mini,day5_consultation04.txt,30,25,0.2333,0.08,0.16,0.47330000000000005
gpt-4.1-mini,day5_consultation05.txt,30,26,0.2667,0.0385,0.3077,0.6129
gpt-4.1-mini,day5_consultation06.txt,36,29,0.25,0.069,0.1724,0.4914
gpt-4.1-mini,day5_consultation07.txt,34,31,0.2647,0.0645,0.4839,0.8130999999999999
gpt-4.1-mini,day5_consultation08.txt,35,29,0.3429,0.069,0.3103,0.7222
gpt-4.1-mini,day5_consultation10.txt,35,27,0.4571,0.1481,0.1111,0.7162999999999999
gpt-4.1-mini,day5_consultation11.txt,39,39,0.1538,0.1026,0.2821,0.5385
gpt-4.1-mini,day5_consultation12.txt,29,24,0.6552,0.0,0.6667,1.3218999999999999
gpt-4o,day1_consultation02.txt,19,24,0.5263,0.125,0.375,1.0263
gpt-4o,day1_consultation03.txt,22,31,0.4545,0.0323,0.2903,0.7771
gpt-4o,day1_consultation04.txt,22,43,0.2727,0.0465,0.1395,0.4587
gpt-4o,day1_consultation05.txt,21,26,0.1429,0.0,0.3077,0.4506
gpt-4o,day1_consultation06.txt,23,37,0.2609,0.0811,0.1081,0.45010000000000006
gpt-4o,day1_consultation07.txt,18,29,0.2222,0.1379,0.2759,0.6359999999999999
gpt-4o,day1_consultation08.txt,23,22,0.3478,0.0455,0.2727,0.6659999999999999
gpt-4o,day1_consultation09.txt,24,27,0.4583,0.0,0.2222,0.6805
gpt-4o,day1_consultation10.txt,22,25,0.1818,0.0,0.08,0.2618
gpt-4o,day1_consultation12.txt,22,22,0.4545,0.0455,0.2727,0.7726999999999999
gpt-4o,day1_consultation14.txt,20,23,0.35,0.1304,0.1304,0.6107999999999999
gpt-4o,day1_consultation15.txt,17,25,0.0588,0.0,0.2,0.25880000000000003
gpt-4o,day2_consultation01.txt,12,19,0.75,0.1053,0.5263,1.3816
gpt-4o,day2_consultation06.txt,22,22,0.6364,0.1364,0.4545,1.2273
gpt-4o,day2_consultation07.txt,26,21,0.7308,0.0952,0.5714,1.3974000000000002
gpt-4o,day2_consultation08.txt,32,24,0.4688,0.0417,0.1667,0.6771999999999999
gpt-4o,day2_consultation09.txt,25,18,0.36,0.0,0.2222,0.5822
gpt-4o,day2_consultation10.txt,33,33,0.1818,0.0303,0.2121,0.4242
gpt-4o,day3_consultation01.txt,17,18,0.5294,0.0556,0.3333,0.9182999999999999
gpt-4o,day3_consultation02.txt,25,26,0.24,0.0385,0.4231,0.7016
gpt-4o,day3_consultation03.txt,21,29,0.5238,0.1034,0.3103,0.9375000000000001
gpt-4o,day3_consultation04.txt,25,25,0.12,0.16,0.32,0.6000000000000001
gpt-4o,day3_consultation05.txt,19,28,0.3158,0.0357,0.4643,0.8158000000000001
gpt-4o,day3_consultation06.txt,13,16,0.4615,0.0,0.5625,1.024
gpt-4o,day3_consultation07.txt,28,22,0.4286,0.0455,0.5,0.9741
gpt-4o,day3_consultation08.txt,17,17,0.1765,0.0588,0.3529,0.5882
gpt-4o,day3_consultation09.txt,22,24,0.1818,0.0417,0.25,0.4735
gpt-4o,day3_consultation10.txt,25,23,0.52,0.2174,0.2174,0.9548000000000001
gpt-4o,day4_consultation01.txt,19,24,0.5263,0.0417,0.4583,1.0263
gpt-4o,day4_consultation02.txt,28,23,0.5,0.0,0.6087,1.1087
gpt-4o,day4_consultation03.txt,17,17,0.6471,0.2353,0.3529,1.2353
gpt-4o,day4_consultation04.txt,17,17,0.4706,0.1176,0.3529,0.9411
gpt-4o,day4_consultation05.txt,20,20,0.75,0.0,0.7,1.45
gpt-4o,day4_consultation06.txt,32,20,0.3125,0.1,0.4,0.8125
gpt-4o,day4_consultation07.txt,22,28,0.6364,0.1786,0.5,1.315
gpt-4o,day4_consultation08.txt,23,25,0.3478,0.0,0.36,0.7078
gpt-4o,day4_consultation09.txt,27,31,0.2963,0.0323,0.3226,0.6512
gpt-4o,day4_consultation10.txt,27,21,0.6296,0.0476,0.4286,1.1058
gpt-4o,day5_consultation01.txt,39,25,0.4615,0.08,0.56,1.1015000000000001
gpt-4o,day5_consultation02.txt,27,25,0.4074,0.04,0.36,0.8073999999999999
gpt-4o,day5_consultation03.txt,31,26,0.4194,0.0385,0.3077,0.7656
gpt-4o,day5_consultation04.txt,30,31,0.4667,0.0968,0.129,0.6925
gpt-4o,day5_consultation05.txt,26,25,0.2308,0.04,0.2,0.4708
gpt-4o,day5_consultation06.txt,36,26,0.4722,0.0385,0.2308,0.7415
gpt-4o,day5_consultation07.txt,34,40,0.7059,0.075,0.6,1.3809
gpt-4o,day5_consultation08.txt,35,29,0.6571,0.1034,0.1379,0.8984000000000001
gpt-4o,day5_consultation10.txt,35,28,0.3143,0.1429,0.2143,0.6715
gpt-4o,day5_consultation11.txt,39,29,0.5641,0.0345,0.3103,0.9089
gpt-4o,day5_consultation12.txt,29,17,0.5172,0.0,0.5294,1.0466
gpt-5,day1_consultation02.txt,19,35,0.0526,0.1429,0.2,0.3955
gpt-5,day1_consultation03.txt,22,36,0.1818,0.0,0.3611,0.5428999999999999
gpt-5,day1_consultation04.txt,22,35,0.3182,0.0571,0.3429,0.7182
gpt-5,day1_consultation05.txt,21,41,0.1429,0.0,0.3171,0.45999999999999996
gpt-5,day1_consultation06.txt,23,30,0.3478,0.0,0.3,0.6477999999999999
gpt-5,day1_consultation07.txt,18,47,0.1111,0.0,0.234,0.3451
gpt-5,day1_consultation08.txt,23,30,0.3043,0.0333,0.3,0.6376
gpt-5,day1_consultation09.txt,24,25,0.2917,0.08,0.44,0.8117000000000001
gpt-5,day1_consultation10.txt,22,37,0.0455,0.0,0.1351,0.18059999999999998
gpt-5,day1_consultation12.txt,22,32,0.0909,0.0625,0.1562,0.3096
gpt-5,day1_consultation14.txt,20,44,0.2,0.0682,0.3636,0.6317999999999999
gpt-5,day1_consultation15.txt,17,36,0.0588,0.0556,0.25,0.3644
gpt-5,day2_consultation01.txt,12,23,0.5,0.0,0.4348,0.9348000000000001
gpt-5,day2_consultation06.txt,22,29,0.1364,0.1034,0.3448,0.5846
gpt-5,day2_consultation07.txt,26,29,0.3462,0.1034,0.4483,0.8978999999999999
gpt-5,day2_consultation08.txt,32,23,0.1562,0.0435,0.1739,0.3736
gpt-5,day2_consultation09.txt,25,25,0.04,0.0,0.08,0.12
gpt-5,day2_consultation10.txt,33,50,0.0606,0.02,0.24,0.3206
gpt-5,day3_consultation01.txt,17,18,0.3529,0.0,0.3333,0.6861999999999999
gpt-5,day3_consultation02.txt,25,33,0.04,0.0,0.1212,0.1612
gpt-5,day3_consultation03.txt,21,35,0.1905,0.1143,0.3143,0.6191
gpt-5,day3_consultation04.txt,25,31,0.16,0.0323,0.2258,0.4181
gpt-5,day3_consultation05.txt,19,23,0.1579,0.0,0.3478,0.5057
gpt-5,day3_consultation06.txt,13,22,0.0769,0.0,0.5,0.5769
gpt-5,day3_consultation07.txt,28,36,0.0,0.0,0.2778,0.2778
gpt-5,day3_consultation08.txt,17,32,0.2353,0.0,0.5,0.7353000000000001
gpt-5,day3_consultation09.txt,22,36,0.1818,0.0278,0.5278,0.7374
gpt-5,day3_consultation10.txt,25,29,0.08,0.069,0.1034,0.2524
gpt-5,day4_consultation01.txt,19,34,0.2632,0.0294,0.5588,0.8513999999999999
gpt-5,day4_consultation02.txt,28,26,0.2857,0.1538,0.5385,0.978
gpt-5,day4_consultation03.txt,17,27,0.3529,0.1852,0.4444,0.9825
gpt-5,day4_consultation04.txt,17,27,0.4118,0.0,0.5926,1.0044
gpt-5,day4_consultation05.txt,20,31,0.4,0.129,0.4194,0.9484
gpt-5,day4_consultation06.txt,32,24,0.0938,0.0,0.1667,0.26049999999999995
gpt-5,day4_consultation07.txt,22,42,0.2727,0.2143,0.3333,0.8203
gpt-5,day4_consultation08.txt,23,26,0.1304,0.0,0.6154,0.7457999999999999
gpt-5,day4_consultation09.txt,27,27,0.2963,0.0,0.4074,0.7037
gpt-5,day4_consultation10.txt,27,27,0.2963,0.1111,0.2963,0.7037
gpt-5,day5_consultation01.txt,39,30,0.3333,0.0667,0.4333,0.8332999999999999
gpt-5,day5_consultation02.txt,27,34,0.2222,0.1176,0.2353,0.5751
gpt-5,day5_consultation03.txt,31,29,0.129,0.0,0.5172,0.6462
gpt-5,day5_consultation04.txt,30,28,0.4,0.1071,0.2857,0.7928
gpt-5,day5_consultation05.txt,26,30,0.3462,0.0333,0.3333,0.7128
gpt-5,day5_consultation06.txt,36,28,0.3889,0.1071,0.5714,1.0674000000000001
gpt-5,day5_consultation07.txt,34,48,0.5588,0.0625,0.5,1.1213
gpt-5,day5_consultation08.txt,35,36,0.1714,0.0556,0.2222,0.4492
gpt-5,day5_consultation10.txt,37,46,0.1622,0.1304,0.2609,0.5535
gpt-5,day5_consultation11.txt,39,36,0.1026,0.1667,0.2778,0.5470999999999999
gpt-5,day5_consultation12.txt,29,44,0.3103,0.0227,0.6136,0.9466000000000001
gpt-5-mini,day1_consultation02.txt,19,33,0.6316,0.0606,0.4242,1.1164
gpt-5-mini,day1_consultation03.txt,22,33,0.0909,0.0303,0.1212,0.2424
gpt-5-mini,day1_consultation04.txt,22,29,0.2727,0.0,0.2069,0.4796
gpt-5-mini,day1_consultation05.txt,21,29,0.1429,0.0,0.3448,0.4877
gpt-5-mini,day1_consultation06.txt,23,30,0.2174,0.0,0.2667,0.4841
gpt-5-mini,day1_consultation07.txt,18,33,0.2778,0.0909,0.3333,0.702
gpt-5-mini,day1_consultation08.txt,23,28,0.1739,0.0714,0.2857,0.531
gpt-5-mini,day1_consultation09.txt,24,31,0.5417,0.0968,0.3226,0.9611
gpt-5-mini,day1_consultation10.txt,22,30,0.1364,0.0,0.2333,0.36970000000000003
gpt-5-mini,day1_consultation12.txt,22,29,0.0455,0.069,0.2414,0.3559
gpt-5-mini,day1_consultation14.txt,20,39,0.45,0.0256,0.4359,0.9115
gpt-5-mini,day1_consultation15.txt,17,27,0.1176,0.037,0.2593,0.41389999999999993
gpt-5-mini,day2_consultation01.txt,12,18,0.3333,0.0556,0.3889,0.7778
gpt-5-mini,day2_consultation06.txt,22,34,0.1818,0.0588,0.4706,0.7112
gpt-5-mini,day2_consultation07.txt,26,34,0.3462,0.0882,0.5,0.9344
gpt-5-mini,day2_consultation08.txt,32,35,0.0625,0.0286,0.2,0.2911
gpt-5-mini,day2_consultation09.txt,25,37,0.12,0.0,0.3514,0.4714
gpt-5-mini,day2_consultation10.txt,33,30,0.0909,0.0,0.1333,0.2242
gpt-5-mini,day3_consultation01.txt,17,23,0.2941,0.0,0.7391,1.0332
gpt-5-mini,day3_consultation02.txt,25,34,0.08,0.0,0.3235,0.4035
gpt-5-mini,day3_consultation03.txt,21,30,0.4762,0.1,0.4,0.9762000000000001
gpt-5-mini,day3_consultation04.txt,28,30,0.5,0.1,0.4,1.0
gpt-5-mini,day3_consultation05.txt,19,21,0.2632,0.0,0.2857,0.5488999999999999
gpt-5-mini,day3_consultation06.txt,13,20,0.3846,0.05,0.45,0.8846
gpt-5-mini,day3_consultation07.txt,28,26,0.1429,0.0,0.1538,0.29669999999999996
gpt-5-mini,day3_consultation08.txt,17,38,0.1176,0.0263,0.5263,0.6702
gpt-5-mini,day3_consultation09.txt,22,32,0.0909,0.0,0.4062,0.4971
gpt-5-mini,day3_consultation10.txt,25,43,0.04,0.0465,0.2791,0.36560000000000004
gpt-5-mini,day4_consultation01.txt,19,22,0.5263,0.0,0.7273,1.2536
gpt-5-mini,day4_consultation02.txt,29,31,0.5517,0.0,0.5806,1.1322999999999999
gpt-5-mini,day4_consultation03.txt,17,27,0.5294,0.0741,0.5556,1.1591
gpt-5-mini,day4_consultation04.txt,17,21,0.2941,0.0,0.381,0.6751
gpt-5-mini,day4_consultation05.txt,20,33,0.4,0.0,0.5758,0.9758
gpt-5-mini,day4_consultation06.txt,32,24,0.0625,0.0,0.1667,0.2292
gpt-5-mini,day4_consultation07.txt,22,36,0.5909,0.2222,0.4444,1.2574999999999998
gpt-5-mini,day4_consultation08.txt,23,28,0.3478,0.0714,0.3214,0.7406
gpt-5-mini,day4_consultation09.txt,27,28,0.1111,0.0,0.3929,0.504
gpt-5-mini,day4_consultation10.txt,27,31,0.2963,0.0645,0.3871,0.7479
gpt-5-mini,day5_consultation01.txt,39,38,0.2564,0.1842,0.1842,0.6248
gpt-5-mini,day5_consultation02.txt,27,28,0.2222,0.0357,0.3571,0.615
gpt-5-mini,day5_consultation03.txt,31,37,0.2258,0.027,0.2973,0.5501
gpt-5-mini,day5_consultation04.txt,30,27,0.5667,0.0741,0.4444,1.0852
gpt-5-mini,day5_consultation05.txt,26,30,0.2692,0.0333,0.4333,0.7358
gpt-5-mini,day5_consultation06.txt,36,28,0.3056,0.0714,0.5,0.877
gpt-5-mini,day5_consultation07.txt,34,46,0.6471,0.0,0.5652,1.2123
gpt-5-mini,day5_consultation08.txt,35,34,0.4286,0.0588,0.2941,0.7815
gpt-5-mini,day5_consultation10.txt,35,34,0.2857,0.2059,0.3824,0.8740000000000001
gpt-5-mini,day5_consultation11.txt,39,41,0.359,0.0,0.3659,0.7249
gpt-5-mini,day5_consultation12.txt,29,46,0.1379,0.0217,0.3696,0.5292
gpt-5-nano,day1_consultation02.txt,19,36,0.7895,0.1944,0.1389,1.1228
gpt-5-nano,day1_consultation03.txt,22,37,0.4091,0.027,0.3514,0.7875000000000001
gpt-5-nano,day1_consultation04.txt,22,44,0.2727,0.0227,0.2273,0.5226999999999999
gpt-5-nano,day1_consultation05.txt,21,29,0.2381,0.0345,0.3448,0.6174
gpt-5-nano,day1_consultation06.txt,23,41,0.3043,0.0,0.2927,0.597
gpt-5-nano,day1_consultation07.txt,18,45,0.2222,0.0,0.3778,0.6000000000000001
gpt-5-nano,day1_consultation08.txt,23,27,0.3478,0.0741,0.2593,0.6812
gpt-5-nano,day1_consultation09.txt,24,28,0.6667,0.0714,0.4643,1.2024
gpt-5-nano,day1_consultation10.txt,22,41,0.0455,0.0488,0.2683,0.3626
gpt-5-nano,day1_consultation12.txt,22,31,0.2273,0.0968,0.3226,0.6467
gpt-5-nano,day1_consultation14.txt,20,49,0.15,0.0,0.3673,0.5173
gpt-5-nano,day1_consultation15.txt,17,28,0.1765,0.1071,0.0714,0.355
gpt-5-nano,day2_consultation01.txt,12,26,0.5833,0.0769,0.3846,1.0448
gpt-5-nano,day2_consultation06.txt,22,39,0.3636,0.0513,0.4872,0.9021
gpt-5-nano,day2_consultation07.txt,26,35,0.5769,0.1143,0.5143,1.2054999999999998
gpt-5-nano,day2_consultation08.txt,32,53,0.0625,0.0377,0.1698,0.27
gpt-5-nano,day2_consultation09.txt,25,40,0.12,0.0,0.2,0.32
gpt-5-nano,day2_consultation10.txt,33,53,0.0909,0.0377,0.3396,0.4682
gpt-5-nano,day3_consultation01.txt,17,25,0.4118,0.0,0.44,0.8518
gpt-5-nano,day3_consultation02.txt,25,38,0.16,0.0,0.2368,0.39680000000000004
gpt-5-nano,day3_consultation03.txt,21,33,0.5238,0.0303,0.7273,1.2814
gpt-5-nano,day3_consultation04.txt,25,36,0.56,0.0833,0.3056,0.9489000000000001
gpt-5-nano,day3_consultation05.txt,19,42,0.1053,0.0,0.5238,0.6291
gpt-5-nano,day3_consultation06.txt,13,18,0.2308,0.0,0.2778,0.5085999999999999
gpt-5-nano,day3_consultation07.txt,28,36,0.0357,0.0,0.25,0.2857
gpt-5-nano,day3_consultation08.txt,17,40,0.1765,0.0,0.45,0.6265000000000001
gpt-5-nano,day3_consultation09.txt,22,48,0.3182,0.0625,0.5833,0.964
gpt-5-nano,day3_consultation10.txt,25,32,0.2,0.0312,0.2188,0.45
gpt-5-nano,day4_consultation01.txt,19,37,0.2632,0.0,0.6216,0.8848
gpt-5-nano,day4_consultation02.txt,28,44,0.4286,0.0455,0.5,0.9741
gpt-5-nano,day4_consultation03.txt,17,32,0.3529,0.0938,0.5625,1.0091999999999999
gpt-5-nano,day4_consultation04.txt,17,23,0.4118,0.0,0.5652,0.9770000000000001
gpt-5-nano,day4_consultation05.txt,20,33,0.65,0.0303,0.6061,1.2864
gpt-5-nano,day4_consultation06.txt,32,31,0.3125,0.0323,0.4839,0.8287
gpt-5-nano,day4_consultation07.txt,22,31,0.2727,0.1613,0.4194,0.8533999999999999
gpt-5-nano,day4_consultation08.txt,23,43,0.1304,0.0,0.2558,0.3862
gpt-5-nano,day4_consultation09.txt,28,36,0.1071,0.0278,0.2222,0.3571
gpt-5-nano,day4_consultation10.txt,27,26,0.3704,0.1154,0.4231,0.9089
gpt-5-nano,day5_consultation01.txt,39,37,0.4615,0.1622,0.4324,1.0561
gpt-5-nano,day5_consultation02.txt,27,53,0.2222,0.1132,0.2264,0.5618000000000001
gpt-5-nano,day5_consultation03.txt,31,51,0.2581,0.0392,0.2745,0.5718000000000001
gpt-5-nano,day5_consultation04.txt,30,34,0.5333,0.1176,0.5,1.1509
gpt-5-nano,day5_consultation05.txt,26,29,0.1923,0.0345,0.4138,0.6406000000000001
gpt-5-nano,day5_consultation06.txt,36,46,0.5,0.1957,0.4565,1.1522000000000001
gpt-5-nano,day5_consultation07.txt,34,60,0.4118,0.05,0.4667,0.9285
gpt-5-nano,day5_consultation08.txt,35,47,0.1429,0.1064,0.1915,0.44079999999999997
gpt-5-nano,day5_consultation10.txt,35,42,0.5143,0.0952,0.5238,1.1333
gpt-5-nano,day5_consultation11.txt,39,59,0.3077,0.0847,0.4068,0.7991999999999999
gpt-5-nano,day5_consultation12.txt,29,35,0.3793,0.0,0.6,0.9793000000000001
notes_text,day1_consultation02.txt,19,32,0.6842,0.125,0.5312,1.3404
notes_text,day1_consultation03.txt,22,33,0.0909,0.0,0.2424,0.3333
notes_text,day1_consultation04.txt,22,35,0.1364,0.0,0.1714,0.30779999999999996
notes_text,day1_consultation05.txt,21,33,0.3333,0.0606,0.3333,0.7272
notes_text,day1_consultation06.txt,23,72,0.2609,0.0278,0.3056,0.5943
o3,day1_consultation02.txt,19,25,0.5263,0.08,0.48,1.0863
o3,day1_consultation03.txt,22,35,0.5,0.0857,0.2857,0.8714
o3,day1_consultation04.txt,22,28,0.2273,0.0357,0.3929,0.6559
o3,day1_consultation06.txt,23,36,0.3043,0.0278,0.3333,0.6654
o3,day1_consultation07.txt,18,41,0.1667,0.0244,0.2683,0.4594
o3,day1_consultation08.txt,23,25,0.1739,0.04,0.12,0.3339
o3,day1_consultation09.txt,24,27,0.375,0.1481,0.3704,0.8935
o3,day1_consultation10.txt,22,33,0.1364,0.0,0.4848,0.6212
o3,day1_consultation12.txt,22,30,0.3636,0.0333,0.3,0.6969
o3,day1_consultation14.txt,20,45,0.3,0.0444,0.4,0.7444
o3,day1_consultation15.txt,17,33,0.1176,0.1515,0.2424,0.5115000000000001
o3,day2_consultation01.txt,12,15,0.3333,0.0667,0.2667,0.6667
o3,day2_consultation06.txt,22,21,0.4545,0.0952,0.2857,0.8354000000000001
o3,day2_consultation07.txt,26,29,0.3462,0.1379,0.2759,0.76
o3,day2_consultation08.txt,32,30,0.0938,0.0667,0.3,0.46049999999999996
o3,day2_consultation09.txt,25,30,0.16,0.0333,0.2667,0.45999999999999996
o3,day2_consultation10.txt,33,32,0.0909,0.0,0.1562,0.2471
o3,day3_consultation01.txt,17,18,0.4118,0.0556,0.5556,1.023
o3,day3_consultation02.txt,25,38,0.12,0.0,0.4211,0.5410999999999999
o3,day3_consultation03.txt,21,24,0.3333,0.25,0.4167,1.0
o3,day3_consultation04.txt,25,30,0.32,0.1333,0.4,0.8533000000000001
o3,day3_consultation05.txt,19,20,0.2632,0.1,0.25,0.6132
o3,day3_consultation06.txt,13,20,0.2308,0.0,0.5,0.7308
o3,day3_consultation07.txt,28,31,0.1071,0.0,0.2258,0.3329
