model,file_id,error_category,detailed_type,section,reasoning
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,plan,"Gold fu-002 safety net: return earlier if worsening symptoms (headaches, vomiting, vision symptoms) or concerns. Generated plan-003: return if symptoms worsen, persist >2–3 days, or focal neuro symptoms. Overlaps conceptually but the exact criteria (persistence 2–3 days, focal deficits) differ and are not stated in gold; treated as added/modified safety-net details."
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,plan,"Gold specifies a review in 1 week to discuss prophylaxis, but does not use the more generic phrasing of follow-up for discussion and reassessment. The general follow-up statement is related but not directly specified; timing detail is missing, so this is treated as an added, generalized version."
gpt-4.1,day1_consultation03.txt,HALLUCINATION,ADDITION,fu,"Mirrors plan-005: follow-up for discussion and reassessment. Gold follow-up (fu-001) is specific to 1 week and prophylactic treatment; that exact wording and timeframe are not preserved, so this is a more generic, added formulation."
gpt-4.1,day1_consultation04.txt,OMISSION,OMITTED,hpi,"Gold includes 4‑day history of feeling generally unwell with sore throat, runny nose, fatigue, myalgia, and general joint pain. Generated facts cover sore throat, rhinorrhea, fatigue, myalgias, but do not state that the patient feels generally unwell, do not specify the 4‑day duration for those systemic symptoms, and do not mention general joint pain."
gpt-4.1,day1_consultation04.txt,OMISSION,PARTIALLY_COVERED,hpi,"Gold: initial fever now settling with paracetamol/ibuprofen. Generated hpi-008 and ros-007 describe fever at onset now resolved with paracetamol/ibuprofen. Conceptually same, but Gold says ‘settling’ vs ‘resolved’; therefore only partial match."
gpt-4.1,day1_consultation04.txt,OMISSION,PARTIALLY_COVERED,hpi,"Gold: denies visual symptoms, photophobia, nausea, vomiting, ear discharge. Generated hpi-014, hpi-015, ros-011 cover nausea and vomiting but omit visual symptoms, photophobia, and ear discharge. Thus only partial coverage."
gpt-4.1,day1_consultation04.txt,OMISSION,PARTIALLY_COVERED,hpi,"Gold: no bowel or urinary symptoms, and no rashes. Generated hpi-016, hpi-017, hpi-018, ros-011 cover diarrhea (bowel), urinary symptoms, and rash, but do not address other bowel symptoms such as constipation or abdominal pain. Partially covered."
gpt-4.1,day1_consultation04.txt,OMISSION,PARTIALLY_COVERED,hpi,Gold: drinking fluids but reduced appetite. Generated hpi-012/ros-010 capture decreased appetite but do not state that the patient is drinking fluids (instead they add ‘increased thirst’). Only the appetite component is covered.
gpt-4.1,day1_consultation04.txt,OMISSION,OMITTED,med,Gold: patient takes no regular medications. Generated facts list paracetamol and ibuprofen in DH and plan but do not explicitly state that there are no regular medications. The Gold statement about absence of regular meds is not expressed.
gpt-4.1,day1_consultation04.txt,OMISSION,PARTIALLY_COVERED,allergy,"Gold: no known drug allergies (NKDA). Generated allergy-001: no allergies. The drug‑specific qualifier is not stated, so only partial coverage."
gpt-4.1,day1_consultation04.txt,OMISSION,PARTIALLY_COVERED,sh,"Gold: work slightly stressful but no mood symptoms. Generated sh-003 notes work‑related stress, and asm-004 notes mild stress, no mood disturbance. Stress and absence of mood symptoms are captured, but the nuance ‘slightly stressful’ vs ‘mild stress’ is reasonably equivalent; however, Gold specifies ‘no mood sx’ in Social history whereas generated locates ‘no mood disturbance’ in Assessment. Content is effectively covered; classification here could reasonably be COVERED, but given location difference is irrelevant clinically, it is treated as COVERED. (If forced strictly by content alone: covered.)"
gpt-4.1,day1_consultation04.txt,OMISSION,PARTIALLY_COVERED,asm,Gold: impression is viral URTI or influenza. Generated asm-001: viral upper respiratory tract infection only; influenza component is omitted.
gpt-4.1,day1_consultation04.txt,OMISSION,PARTIALLY_COVERED,plan,"Gold: conservative management—rest, push fluids, regular paracetamol/ibuprofen, monitor temp. Generated plan-001 includes rest and push fluids; plan-002/med-003/med-004 mention paracetamol/ibuprofen PRN but not as ‘regular’ and do not mention temperature monitoring. Only partially covered."
gpt-4.1,day1_consultation04.txt,OMISSION,OMITTED,fu,"Gold: review in 5–7 days if not better. Generated fu-002: review next week if not improving. ‘Next week’ approximates 5–7 days, so this is conceptually covered; thus classification should be COVERED, not omitted. Corrected: COVERED."
gpt-4.1,day1_consultation04.txt,HALLUCINATION,PARTIALLY_SUPPORTED,cc,"4‑day history and sore throat are in Gold; ‘now with dry cough’ is supported by Gold hpi-003, but Gold does not explicitly frame this as the chief complaint."
gpt-4.1,day1_consultation04.txt,HALLUCINATION,PARTIALLY_SUPPORTED,hpi,"Gold: fever initially, now settling with paracetamol/ibuprofen. Generated: fever at onset, now resolved with paracetamol/ibuprofen. Difference between ‘settling’ and ‘resolved’ is a mild overstatement but not outright contradiction; partial support."
gpt-4.1,day1_consultation04.txt,HALLUCINATION,ADDITION,hpi,Denial of dysphagia is not mentioned in any Gold fact.
gpt-4.1,day1_consultation04.txt,HALLUCINATION,ADDITION,hpi,Denial of odynophagia is not mentioned in any Gold fact.
gpt-4.1,day1_consultation04.txt,HALLUCINATION,PARTIALLY_SUPPORTED,hpi,Decreased appetite is supported by Gold (reduced appetite).
gpt-4.1,day1_consultation04.txt,HALLUCINATION,ADDITION,hpi,Increased thirst is not noted in the Gold facts.
gpt-4.1,day1_consultation04.txt,HALLUCINATION,PARTIALLY_SUPPORTED,hpi,Denies diarrhea is a subset of ‘no bowel symptoms’; Gold mentions no bowel symptoms but not specifically diarrhea. This is consistent but more specific.
gpt-4.1,day1_consultation04.txt,HALLUCINATION,CONTRADICTION,med,Generated states patient is taking paracetamol; Gold states DH: nil (no regular medications). This directly conflicts regarding current medication list.
gpt-4.1,day1_consultation04.txt,HALLUCINATION,CONTRADICTION,med,Generated states patient is taking ibuprofen; Gold says DH: nil. Direct conflict.
gpt-4.1,day1_consultation04.txt,HALLUCINATION,PARTIALLY_SUPPORTED,allergy,No allergies is slightly broader than no known drug allergies; partially supported but overgeneralized.
gpt-4.1,day1_consultation04.txt,HALLUCINATION,ADDITION,pe,Statement that no examination/diagnostics are available is not addressed in Gold facts.
gpt-4.1,day1_consultation04.txt,HALLUCINATION,PARTIALLY_SUPPORTED,asm,"Viral URTI is part of Gold’s impression (viral URTI/influenza). The influenza alternative is omitted, so this is partially supported."
gpt-4.1,day1_consultation04.txt,HALLUCINATION,PARTIALLY_SUPPORTED,plan,Continue paracetamol/ibuprofen PRN aligns with use of these meds but differs from Gold’s ‘regular’ dosing recommendation.
gpt-4.1,day1_consultation04.txt,HALLUCINATION,ADDITION,plan,Advice to take 1–2 days off work is not documented in any Gold fact.
gpt-4.1,day1_consultation04.txt,HALLUCINATION,PARTIALLY_SUPPORTED,plan,"Uses similar red-flag symptoms (fever, SOB, chest pain) but narrows to persistent/recurring/worsening symptoms. Gold says any presence: ‘if present, for urgent review.’ Partially aligned, more restrictive."
gpt-4.1,day1_consultation04.txt,HALLUCINATION,PARTIALLY_SUPPORTED,fu,"Same reasoning as plan-004: uses same red flags but only if persistent/recurring/worsening, whereas Gold advises urgent review for any presence."
gpt-4.1,day1_consultation04.txt,HALLUCINATION,PARTIALLY_SUPPORTED,ros,"Fever at onset, now resolved, largely matches Gold’s initial fever now settling; resolution vs settling is a mild overstatement."
gpt-4.1,day1_consultation04.txt,HALLUCINATION,ADDITION,ros,Negative for dysphagia and odynophagia is not present in Gold.
gpt-4.1,day1_consultation04.txt,HALLUCINATION,PARTIALLY_SUPPORTED,ros,Decreased appetite is supported by Gold; increased thirst is an added detail not present in Gold.
gpt-4.1,day1_consultation04.txt,HALLUCINATION,PARTIALLY_SUPPORTED,ros,"Denies nausea and vomiting match Gold; denial of diarrhea and urinary symptoms and rash partially overlaps Gold hpi-009 (no bowel or urinary symptoms, no rashes) but Gold does not specifically mention diarrhea. Collectively, partially supported and more specific."
gpt-4.1,day1_consultation05.txt,OMISSION,OMITTED,hpi,"Generated HPI mentions lower abdominal pain, burning, constant, worsening over 2 days, but does not specify suprapubic location or that onset was gradual."
gpt-4.1,day1_consultation05.txt,OMISSION,OMITTED,hpi,"Generated HPI-004 includes increased urinary frequency and pink-tinged urine with no dysuria; gold specifies pink-colored urine, no frank hematuria, no dysuria. The absence of frank hematuria is not mentioned, and increased frequency is an added detail, but overall the key elements (pink urine, no dysuria) are present. However, the specific clarification of 'no frank hematuria' is not captured."
gpt-4.1,day1_consultation05.txt,OMISSION,OMITTED,hpi,"Generated facts (pe-001, ros-001) state no SOB, cough, palpitations, visual changes, headaches; gold includes no chest pain, SOB, palpitations, headaches, or visual symptoms. Chest pain is not mentioned in generated text at all, so this part is omitted."
gpt-4.1,day1_consultation05.txt,OMISSION,OMITTED,asm,Gold assessment states ?UTI and need to exclude pregnancy. Generated ASM-001 mentions ?UTI vs GIT vs gynecologic causes but does not mention the need to exclude pregnancy.
gpt-4.1,day1_consultation05.txt,OMISSION,OMITTED,fu,"Gold follow-up is review in 24–48 hours if symptoms not improving. Generated FU-001 advises follow-up in several days if no improvement, which is less specific and not constrained to 24–48 hours; timing does not strictly match, so the gold detail is not fully captured."
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,cc,"Chief complaint detail (below umbilicus, worsening over 2 days) is consistent with HPI pain description and 2 days duration but the anatomic qualifier 'below umbilicus' is not present in gold; chief complaint section itself is not in gold."
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,hpi,"Burning, constant, worsening over 2 days is consistent with gold HPI-001 and HPI-002, but the location 'below the umbilicus' and exact framing from CC are not in gold. Duration (2 days) and worsening are consistent; no contradiction."
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,hpi,"Gold mentions pink-colored urine, no frank hematuria, no dysuria; generated adds increased urinary frequency not present in gold. The rest is consistent, so this is an addition."
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,hpi,Gold states feeling hot and sweaty but does not address whether temperatures were actually measured; stating 'no measured fevers' adds new information without contradiction.
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,hpi,"Gold only states last STD screen 6 months ago; generated adds that the result was normal, which is not in gold but does not conflict."
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,hpi,Gold notes Implanon use but not duration; having it for one year is new detail.
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,hpi,No gold fact mentions or denies prior similar symptoms; this is new information.
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,pe,"Content about review of systems (no SOB, cough, palpitations, visual changes, headaches) is similar to gold HPI-010, but presented under physical findings; includes 'no cough' which is not in gold. Partially overlapping but as a PE statement it is extra."
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,pe,Gold does not comment on whether physical exam or vitals were done; saying none were documented is new documentation status information.
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,ros,"Denials of SOB, cough, palpitations, visual changes, headaches largely parallel HPI-010 in gold, but cough is an added symptom not mentioned in gold, and this is framed as a ROS section which is not explicitly present in gold."
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,asm,"Gold lists ?UTI and need to exclude pregnancy. Generated adds consideration of gastrointestinal and gynecologic causes, which are reasonable differentials but not in gold."
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,asm,Gold states pink urine with no frank hematuria; generated assessment codes this as 'hematuria (pink urine)'. Interpreting it as hematuria with that label is new and slightly diverges from 'no frank hematuria' but not strictly opposite; best categorized as an addition/interpretation.
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,plan,Maintaining hydration is not mentioned in the gold plan; new but consistent advice.
gpt-4.1,day1_consultation05.txt,HALLUCINATION,ADDITION,plan,Cranberry juice as adjunct is not present in gold; new supportive measure.
gpt-4.1,day1_consultation05.txt,HALLUCINATION,CONTRADICTION,fu,"Gold specifies follow-up in 24–48 hours if no improvement; generated states follow-up in 'several days', which generally implies a longer and less specific interval than 24–48 hours, conflicting with the tighter timeframe."
gpt-4.1,day1_consultation06.txt,OMISSION,OMITTED,hpi,"Gold states SOB for 2 weeks, worsening over those 2 weeks and specifies no SOB at rest elsewhere. Generated HPI-001 mentions increasing SOB over 2 weeks, worse in last few days, but does not clearly capture the overall 2-week worsening trend as phrased, nor is the exact description of worsening over 2 weeks directly matched."
gpt-4.1,day1_consultation06.txt,OMISSION,OMITTED,hpi,Gold explicitly states more SOB on minimal exertion AND nil SOB at rest. Generated facts describe SOB on minimal exertion (HPI-001) but do not state that there is no SOB at rest.
gpt-4.1,day1_consultation06.txt,OMISSION,OMITTED,hpi,"Gold: patient has history of heart failure and is currently on diuretics. Generated HPI facts do not mention medication use in HPI; PMH-001 notes heart failure only, and medications section lists furosemide but does not explicitly link its use to the HPI statement that patient is currently on diuretics."
gpt-4.1,day1_consultation06.txt,OMISSION,OMITTED,hpi,"Gold: urinary symptoms include polyuria. Generated HPI-008 states normal urine output; this is the opposite of polyuria, so the gold fact is not covered and is in fact contradicted."
gpt-4.1,day1_consultation06.txt,OMISSION,OMITTED,pmh,"Gold: history of heart failure and possible unstable angina. Generated PMH-001 gives heart failure; PMH-002 gives a prior small heart attack, which is a different/stronger diagnosis than ‘?unstable angina’ and not marked as uncertain. Thus the specific gold content of ‘possible unstable angina’ is not captured."
gpt-4.1,day1_consultation06.txt,OMISSION,OMITTED,med,"Gold: furosemide, aspirin, simvastatin. Generated medication list includes furosemide, aspirin, metoprolol, simvastatin (MED-001–004). The additional metoprolol is not in gold; however, exact gold triple is not specifically isolated as a unit and there is no explicit gold confirmation that metoprolol is absent, so the exact gold fact is not fully and cleanly reflected."
gpt-4.1,day1_consultation06.txt,OMISSION,OMITTED,plan,"Gold: blood tests including U&Es, FBC, and BNP. Generated PLAN-002: bloods FBC and renal function. Renal function approximates U&Es but BNP is not mentioned, so full gold panel is not captured."
gpt-4.1,day1_consultation06.txt,OMISSION,OMITTED,fu,"Gold: advised to seek earlier review for worsening symptoms including chest pain, SOB, or dizziness. Generated FU-001 mentions earlier follow-up for worsening SOB, chest pain, palpitations, dizziness. It adds palpitations, but it does include chest pain, SOB, dizziness; thus, although slightly expanded, the gold advice is effectively covered. However, since the gold example symptoms are specifically chest pain, SOB, dizziness and the generated list alters them by adding palpitations, this is a partial but acceptable coverage; classify as COVERED."
gpt-4.1,day1_consultation06.txt,HALLUCINATION,ADDITION,cc,"Chief complaint content (increasing SOB over 2 weeks, worse last few days, minimal exertion at home) is not present as a chief complaint fact in gold. Gold HPI mentions 2-week SOB and exertional component but no mention of ‘worse last few days’ or ‘at home’ context, and no chief-complaint section exists."
gpt-4.1,day1_consultation06.txt,HALLUCINATION,ADDITION,hpi,"Describes increasing SOB over 2 weeks, worse in the last few days and on minimal exertion at home. Gold HPI-001 and HPI-002 give 2-week history and worse over 2 weeks, with SOB on minimal exertion but nil at rest. The emphasis on ‘worse last few days’ and ‘at home’ is not in gold, so this contains additional temporal/contextual detail and does not contradict."
gpt-4.1,day1_consultation06.txt,HALLUCINATION,ADDITION,hpi,Normal appetite is not mentioned anywhere in gold facts. No contradiction.
gpt-4.1,day1_consultation06.txt,HALLUCINATION,CONTRADICTION,hpi,Generated states normal urine output. Gold HPI-008 states polyuria (large urine volume). These conflict.
gpt-4.1,day1_consultation06.txt,HALLUCINATION,ADDITION,pmh,"Generated describes a prior small heart attack ~5 years ago. Gold only notes ‘?unstable angina’ and does not confirm MI, so this is new information, not directly supported nor explicitly contradicted by gold."
gpt-4.1,day1_consultation06.txt,HALLUCINATION,CONTRADICTION,pmh,"Generated says no other past medical history. Gold lists heart failure and possible unstable angina as PMH; the latter is in addition to heart failure, so stating no other PMHx contradicts the presence of possible unstable angina and any other conditions not mentioned by the generated note."
gpt-4.1,day1_consultation06.txt,HALLUCINATION,ADDITION,med,Metoprolol is not listed among gold medications. No explicit contradiction; it is an extra medication.
gpt-4.1,day1_consultation06.txt,HALLUCINATION,ADDITION,sh,Regular walking to shops is not mentioned in gold. New social detail.
gpt-4.1,day1_consultation06.txt,HALLUCINATION,ADDITION,sh,Being an ex-runner is not in gold. New social/functional detail.
gpt-4.1,day1_consultation06.txt,HALLUCINATION,ADDITION,pe,"Physical exam findings (chest, O2 sats, BP all okay) are not present in gold facts, which do not include any physical findings section."
gpt-4.1,day1_consultation06.txt,HALLUCINATION,ADDITION,pe,"Statement that no other exam or vitals documented is not in gold. Gold is silent on this, so it is added documentation detail."
gpt-4.1,day1_consultation06.txt,HALLUCINATION,ADDITION,asm,"Stable post-MI (remote) is not part of gold assessment, which only lists exacerbation of heart failure as impression. New assessment item, not contradicted by gold."
gpt-4.1,day1_consultation06.txt,HALLUCINATION,ADDITION,asm,"CVD risk factors list (ex-smoker, dyslipidemia, FHx) is not specifically articulated as an assessment item in gold, although some components appear in history. This is a new interpretive assessment."
gpt-4.1,day1_consultation06.txt,HALLUCINATION,PARTIAL,plan,"Gold plan includes blood tests: U&Es, FBC, BNP. Generated PLAN-002 includes FBC and renal function (approximate to U&Es) but omits BNP. It is partially supported but incomplete relative to gold."
gpt-4.1,day1_consultation07.txt,OMISSION,OMITTED,hpi,"No generated fact indicates that the patient has had no fevers; instead, generated HPI-006 reports subjective fevers, chills, and night sweats, which conflicts with the gold statement of no fevers. The hot/cold and sweaty component is also not clearly captured."
gpt-4.1,day1_consultation07.txt,OMISSION,OMITTED,hpi,No generated fact addresses absence of unwell contacts or absence of nausea/vomiting; these details are missing from the generated set.
gpt-4.1,day1_consultation07.txt,OMISSION,OMITTED,pmh,"Generated PMH-001 and PMH-002 cover type 2 diabetes and hypertension but do not mention obesity, so the full triad (obesity, type 2 diabetes, hypertension) is not completely captured."
gpt-4.1,day1_consultation07.txt,OMISSION,OMITTED,sh,Gold specifies smoking socially and >9 units/week alcohol. Generated SH-002 provides quantity as ~9 pints/week (different measure) and SH-003 describes active smoker cutting down with vape; this does not clearly reflect 'smokes socially' and does not preserve the >9 units/week language. The specific gold framing is not cleanly captured.
gpt-4.1,day1_consultation07.txt,OMISSION,OMITTED,asm,"Gold impression is viral URTI/? LRTI. Generated ASM-001 gives viral URTI/possible early influenza, with no mention of LRTI; thus the 'possible LRTI' element is missing."
gpt-4.1,day1_consultation07.txt,OMISSION,OMITTED,fu,"Gold advises earlier review for worsening symptoms (chest pain, SOB, fevers). Generated facts mention safety-net for starting antibiotics if worse, but not the explicit instruction to seek earlier clinical review for chest pain, SOB, or fevers."
gpt-4.1,day1_consultation07.txt,HALLUCINATION,ADDITION,hpi,Gold only states 'mainly dry cough'. Generated fact adds 'slight sputum in the morning'. This extra detail is not in the gold note but does not contradict it.
gpt-4.1,day1_consultation07.txt,HALLUCINATION,ADDITION,hpi,"Gold confirms sore throat but does not mention worsening by shouting at football. That triggering factor is new information, so this is an addition."
gpt-4.1,day1_consultation07.txt,HALLUCINATION,CONTRADICTION,hpi,"Gold explicitly states 'No fevers' while generated reports subjective fevers, chills, and night sweats. This directly conflicts with the gold documentation regarding fever; chills/night sweats are also not mentioned in gold."
gpt-4.1,day1_consultation07.txt,HALLUCINATION,ADDITION,hpi,"Gold does not address appetite or hydration; stating appetite preserved and feels hydrated is new, non-contradictory information."
gpt-4.1,day1_consultation07.txt,HALLUCINATION,ADDITION,med,"Gold lists aspirin without qualifier; generated specifies 'aspirin occasionally'. The 'occasional' frequency is an added detail not present in gold, not an outright contradiction."
gpt-4.1,day1_consultation07.txt,HALLUCINATION,ADDITION,sh,"Gold states >9 units/week alcohol. Generated specifies ~9 pints of beer/week, which is a different quantity/measure and not derivable from the gold text. Treated as additional detail rather than a direct logical contradiction because the gold does not specify pints or exact volume."
gpt-4.1,day1_consultation07.txt,HALLUCINATION,ADDITION,sh,"Gold: 'smoking socially'. Generated: 'smoker who is cutting down and using a vape', which introduces different behavioral details and change in smoking pattern not documented in gold. This is new information, not explicitly opposed to 'smoking socially,' so classified as addition."
gpt-4.1,day1_consultation07.txt,HALLUCINATION,ADDITION,asm,"Gold assessment: viral URTI/? LRTI. Generated: viral URTI/possible early influenza with features including fever and no focal consolidation. It adds 'possible early influenza' and 'fever' (which conflicts with gold HPI regarding fever but not with the gold assessment text itself), and omits mention of possible LRTI. Net effect is substantial extra detail not in the gold fact; no direct textual contradiction to the assessment statement itself, so classified as addition."
gpt-4.1,day1_consultation07.txt,HALLUCINATION,ADDITION,asm,"Gold social history: smoking socially, ongoing alcohol intake >9 units/week. Generated ASM-004 summarizes as 'former smoker, ongoing etOH use', which changes current smoker to former smoker (this aspect contradicts), but since this is a higher-level characterization not explicitly present in gold and gold does not state 'current' vs 'former' in those exact terms, overall treated as added/interpretive information. It clearly is not supported by the exact gold text."
gpt-4.1,day1_consultation07.txt,HALLUCINATION,ADDITION,plan,"Gold plan does not mention continuation of diabetes or hypertension medications. Generated PLAN-005 adds this as specific medication management advice, which is new information."
gpt-4.1,day1_consultation07.txt,HALLUCINATION,ADDITION,plan,Gold plan does not mention smoking cessation counseling. Generated PLAN-006 adds this recommendation; not supported by the gold note.
gpt-4.1,day1_consultation07.txt,HALLUCINATION,ADDITION,plan,Gold plan does not mention alcohol moderation counseling. Generated PLAN-007 introduces this as new advice.
gpt-4.1,day1_consultation08.txt,OMISSION,OMITTED,famhx,Gold: mother has hayfever. No generated fact mentions the mother's hayfever or any maternal condition.
gpt-4.1,day1_consultation08.txt,OMISSION,OMITTED,plan,"Gold: steroid cream BD (scheduled twice daily). Generated plan-002 only says 'consider topical steroid cream' without dose/frequency and as a conditional option, not a clear prescription BD."
gpt-4.1,day1_consultation08.txt,OMISSION,OMITTED,fu,Gold: advised review earlier for worsening symptoms or any concerns. Generated facts do not mention earlier review for worsening symptoms/concerns.
gpt-4.1,day1_consultation08.txt,HALLUCINATION,ADDITION,cc,"Chief complaint not present as a separate gold fact. Content overlaps with HPI (dry, itchy skin on hands/arms and duration), but 'red skin' and explicit chief complaint framing are additional."
gpt-4.1,day1_consultation08.txt,HALLUCINATION,ADDITION,hpi,Gold does not mention pain at all. Saying 'no pain' adds new information; it does not contradict any gold fact.
gpt-4.1,day1_consultation08.txt,HALLUCINATION,ADDITION,hpi,"Gold does not mention 'spots' on skin. Statement of 'no spots' is additional information, not present nor contradicted in gold."
gpt-4.1,day1_consultation08.txt,HALLUCINATION,ADDITION,hpi,Use of coconut butter and lack of relief are not mentioned in any gold fact. This is new information.
gpt-4.1,day1_consultation08.txt,HALLUCINATION,PARTIALLY_SUPPORTED,hpi,"Gold hpi-007 supports no fevers and no vomiting. Gold does not mention sweats or loose stools. Thus, 'no fever' and 'no vomiting' are supported; absence of sweats/loose stools is additional but not contradictory."
gpt-4.1,day1_consultation08.txt,HALLUCINATION,PARTIALLY_SUPPORTED,hpi,"Gold: appetite maintained (supports normal appetite). Hydration status is not mentioned in gold, so 'hydration normal' is an addition."
gpt-4.1,day1_consultation08.txt,HALLUCINATION,ADDITION,pe,Gold facts contain no information about physical examination being performed or not. This is new information.
gpt-4.1,day1_consultation08.txt,HALLUCINATION,ADDITION,asm,Assessment of work-related stress is not present as an assessment item in the gold facts (stress only appears in social history). This is an added assessment diagnosis.
gpt-4.1,day1_consultation08.txt,HALLUCINATION,PARTIALLY_SUPPORTED,plan,Gold: 'Steroid cream BD' implies a definite prescription with twice-daily dosing. Generated: 'consider topical steroid cream for inflammation' is weaker/conditional and lacks BD detail. It reflects steroid cream as a treatment concept (supported) but not as clearly prescribed BD (so full equivalence is lacking).
gpt-4.1,day1_consultation08.txt,HALLUCINATION,ADDITION,plan,Providing a patient information leaflet about dermatitis is not mentioned in any gold plan fact.
gpt-4.1,day1_consultation08.txt,HALLUCINATION,PARTIALLY_SUPPORTED,plan,"Gold fu-001: review symptoms in 1 week (implies scheduled review). Generated: monitor symptoms; follow up if no improvement in 1 week (conditional, not a definite scheduled review). Timeframe is supported; conditionality and lack of explicit review are differences, so only partial support."
