model,file_id,total_facts,supported_count,addition_count,contradiction_count,hallucination_rate
gpt-4.1-mini,day1_consultation14.txt,31,31,0,0,0.0
gpt-4.1-mini,day1_consultation15.txt,21,18,3,0,0.1429
gpt-4.1-mini,day2_consultation01.txt,11,11,0,0,0.0
gpt-4.1-mini,day2_consultation02.txt,22,21,0,1,0.0455
gpt-4.1-mini,day2_consultation03.txt,27,27,0,0,0.0
gpt-4.1-mini,day2_consultation04.txt,27,25,2,0,0.0741
gpt-4.1-mini,day2_consultation06.txt,27,27,0,0,0.0
gpt-4.1-mini,day2_consultation07.txt,26,23,2,1,0.1154
gpt-4.1-mini,day2_consultation08.txt,27,27,0,0,0.0
gpt-4.1-mini,day2_consultation09.txt,26,24,2,0,0.0769
gpt-4.1-mini,day2_consultation10.txt,30,30,0,0,0.0
gpt-4.1-mini,day3_consultation01.txt,19,17,1,1,0.1053
gpt-4.1-mini,day3_consultation02.txt,28,26,1,1,0.0714
gpt-4.1-mini,day3_consultation03.txt,32,27,4,1,0.1562
gpt-4.1-mini,day3_consultation04.txt,24,22,0,2,0.0833
gpt-4.1-mini,day3_consultation05.txt,25,21,4,0,0.16
gpt-4.1-mini,day3_consultation06.txt,15,12,2,1,0.2
gpt-4.1-mini,day3_consultation07.txt,34,34,0,0,0.0
gpt-4.1-mini,day3_consultation08.txt,16,15,1,0,0.0625
gpt-4.1-mini,day3_consultation09.txt,26,25,1,0,0.0385
gpt-4.1-mini,day3_consultation10.txt,26,22,2,2,0.1538
gpt-4.1-mini,day4_consultation01.txt,27,25,2,0,0.0741
gpt-4.1-mini,day4_consultation02.txt,30,28,2,0,0.0667
gpt-4.1-mini,day4_consultation03.txt,22,19,1,2,0.1364
gpt-4.1-mini,day4_consultation04.txt,19,18,1,0,0.0526
gpt-4.1-mini,day4_consultation05.txt,20,18,1,1,0.1
gpt-4.1-mini,day4_consultation06.txt,19,16,2,1,0.1579
gpt-4.1-mini,day4_consultation07.txt,37,34,3,0,0.0811
gpt-4.1-mini,day4_consultation08.txt,24,22,2,0,0.0833
gpt-4.1-mini,day4_consultation09.txt,32,31,1,0,0.0312
gpt-4.1-mini,day4_consultation10.txt,27,24,3,0,0.1111
gpt-4.1-mini,day5_consultation01.txt,28,26,1,1,0.0714
gpt-4.1-mini,day5_consultation02.txt,29,27,1,1,0.069
gpt-4.1-mini,day5_consultation03.txt,26,26,0,0,0.0
gpt-4.1-mini,day5_consultation04.txt,25,21,2,2,0.16
gpt-4.1-mini,day5_consultation05.txt,26,24,1,1,0.0769
gpt-4.1-mini,day5_consultation06.txt,29,28,0,1,0.0345
gpt-4.1-mini,day5_consultation07.txt,31,31,0,0,0.0
gpt-4.1-mini,day5_consultation08.txt,29,26,0,3,0.1034
gpt-4.1-mini,day5_consultation09.txt,25,22,3,0,0.12
gpt-4.1-mini,day5_consultation10.txt,27,27,0,0,0.0
gpt-4.1-mini,day5_consultation11.txt,39,36,3,0,0.0769
gpt-4.1-mini,day5_consultation12.txt,24,23,1,0,0.0417
gpt-4o,day1_consultation02.txt,24,23,1,0,0.0417
gpt-4o,day1_consultation03.txt,31,30,1,0,0.0323
gpt-4o,day1_consultation04.txt,43,43,0,0,0.0
gpt-4o,day1_consultation05.txt,26,25,1,0,0.0385
gpt-4o,day1_consultation06.txt,37,34,2,1,0.0811
gpt-4o,day1_consultation07.txt,29,25,4,0,0.1379
gpt-4o,day1_consultation08.txt,22,21,1,0,0.0455
gpt-4o,day1_consultation09.txt,27,26,1,0,0.037
gpt-4o,day1_consultation10.txt,25,24,1,0,0.04
gpt-4o,day1_consultation11.txt,24,23,1,0,0.0417
gpt-4o,day1_consultation12.txt,21,21,0,0,0.0
gpt-4o,day1_consultation13.txt,30,28,2,0,0.0667
gpt-4o,day1_consultation14.txt,23,23,0,0,0.0
gpt-4o,day1_consultation15.txt,25,25,0,0,0.0
gpt-4o,day2_consultation01.txt,19,17,2,0,0.1053
gpt-4o,day2_consultation02.txt,21,21,0,0,0.0
gpt-4o,day2_consultation03.txt,22,22,0,0,0.0
gpt-4o,day2_consultation04.txt,29,28,1,0,0.0345
gpt-4o,day2_consultation06.txt,22,22,0,0,0.0
gpt-4o,day2_consultation07.txt,21,20,0,1,0.0476
gpt-4o,day2_consultation08.txt,24,23,0,1,0.0417
gpt-4o,day2_consultation09.txt,18,15,3,0,0.1667
gpt-4o,day2_consultation10.txt,33,33,0,0,0.0
gpt-4o,day3_consultation01.txt,18,17,1,0,0.0556
gpt-4o,day3_consultation02.txt,26,26,0,0,0.0
gpt-4o,day3_consultation03.txt,29,23,6,0,0.2069
gpt-4o,day3_consultation04.txt,25,24,0,1,0.04
gpt-4o,day3_consultation05.txt,28,24,2,2,0.1429
gpt-4o,day3_consultation06.txt,16,16,0,0,0.0
gpt-4o,day3_consultation07.txt,22,22,0,0,0.0
gpt-4o,day3_consultation08.txt,17,17,0,0,0.0
gpt-4o,day3_consultation09.txt,24,22,2,0,0.0833
gpt-4o,day3_consultation10.txt,23,22,1,0,0.0435
gpt-4o,day4_consultation01.txt,24,20,3,1,0.1667
gpt-4o,day4_consultation02.txt,23,19,4,0,0.1739
gpt-4o,day4_consultation03.txt,17,16,1,0,0.0588
gpt-4o,day4_consultation04.txt,17,16,1,0,0.0588
gpt-4o,day4_consultation05.txt,20,18,1,1,0.1
gpt-4o,day4_consultation06.txt,20,20,0,0,0.0
gpt-4o,day4_consultation07.txt,28,25,0,3,0.1071
gpt-4o,day4_consultation08.txt,25,17,8,0,0.32
gpt-4o,day4_consultation09.txt,31,29,2,0,0.0645
gpt-4o,day4_consultation10.txt,21,16,5,0,0.2381
gpt-4o,day5_consultation01.txt,25,24,0,1,0.04
gpt-4o,day5_consultation02.txt,25,25,0,0,0.0
gpt-4o,day5_consultation03.txt,26,23,3,0,0.1154
gpt-4o,day5_consultation04.txt,31,31,0,0,0.0
gpt-4o,day5_consultation05.txt,25,24,1,0,0.04
gpt-4o,day5_consultation06.txt,25,25,0,0,0.0
gpt-4o,day5_consultation07.txt,40,39,1,0,0.025
gpt-4o,day5_consultation08.txt,29,29,0,0,0.0
gpt-4o,day5_consultation09.txt,30,28,0,2,0.0667
gpt-4o,day5_consultation10.txt,28,28,0,0,0.0
gpt-4o,day5_consultation11.txt,29,27,0,2,0.069
gpt-4o,day5_consultation12.txt,17,17,0,0,0.0
gpt-5,day1_consultation02.txt,35,35,0,0,0.0
gpt-5,day1_consultation03.txt,36,33,3,0,0.0833
gpt-5,day1_consultation04.txt,35,35,0,0,0.0
gpt-5,day1_consultation05.txt,41,39,1,1,0.0488
gpt-5,day1_consultation06.txt,30,30,0,0,0.0
gpt-5,day1_consultation07.txt,47,44,3,0,0.0638
gpt-5,day1_consultation08.txt,30,30,0,0,0.0
gpt-5,day1_consultation09.txt,25,24,0,1,0.04
gpt-5,day1_consultation10.txt,37,36,1,0,0.027
gpt-5,day1_consultation11.txt,31,31,0,0,0.0
gpt-5,day1_consultation12.txt,32,32,0,0,0.0
gpt-5,day1_consultation13.txt,41,40,0,1,0.0244
gpt-5,day1_consultation14.txt,44,40,4,0,0.0909
gpt-5,day1_consultation15.txt,36,33,3,0,0.0833
gpt-5,day2_consultation01.txt,23,23,0,0,0.0
gpt-5,day2_consultation02.txt,25,21,3,1,0.16
gpt-5,day2_consultation03.txt,35,34,1,0,0.0286
gpt-5,day2_consultation04.txt,26,24,2,0,0.0769
gpt-5,day2_consultation06.txt,29,29,0,0,0.0
gpt-5,day2_consultation07.txt,29,29,0,0,0.0
gpt-5,day2_consultation08.txt,23,23,0,0,0.0
gpt-5,day2_consultation09.txt,25,25,0,0,0.0
gpt-5,day2_consultation10.txt,50,48,2,0,0.04
gpt-5,day3_consultation01.txt,18,17,1,0,0.0556
gpt-5,day3_consultation02.txt,33,33,0,0,0.0
gpt-5,day3_consultation03.txt,35,35,0,0,0.0
gpt-5,day3_consultation04.txt,31,29,1,1,0.0645
gpt-5,day3_consultation05.txt,23,23,0,0,0.0
gpt-5,day3_consultation06.txt,22,22,0,0,0.0
gpt-5,day3_consultation07.txt,36,36,0,0,0.0
gpt-5,day3_consultation08.txt,32,31,1,0,0.0312
gpt-5,day3_consultation09.txt,36,36,0,0,0.0
gpt-5,day3_consultation10.txt,29,29,0,0,0.0
gpt-5,day4_consultation01.txt,34,30,3,1,0.1176
gpt-5,day4_consultation02.txt,26,26,0,0,0.0
gpt-5,day4_consultation03.txt,27,26,1,0,0.037
gpt-5,day4_consultation04.txt,27,25,2,0,0.0741
gpt-5,day4_consultation05.txt,31,31,0,0,0.0
gpt-5,day4_consultation06.txt,24,24,0,0,0.0
gpt-5,day4_consultation07.txt,42,41,0,1,0.0238
gpt-5,day4_consultation08.txt,26,24,2,0,0.0769
gpt-5,day4_consultation09.txt,27,27,0,0,0.0
gpt-5,day4_consultation10.txt,27,26,1,0,0.037
gpt-5,day5_consultation01.txt,30,28,2,0,0.0667
gpt-5,day5_consultation02.txt,34,32,2,0,0.0588
gpt-5,day5_consultation03.txt,29,29,0,0,0.0
gpt-5,day5_consultation04.txt,28,27,1,0,0.0357
gpt-5,day5_consultation05.txt,30,30,0,0,0.0
gpt-5,day5_consultation06.txt,28,28,0,0,0.0
gpt-5,day5_consultation07.txt,48,44,3,1,0.0833
gpt-5,day5_consultation08.txt,36,35,1,0,0.0278
gpt-5,day5_consultation09.txt,44,41,3,0,0.0682
gpt-5,day5_consultation10.txt,46,46,0,0,0.0
gpt-5,day5_consultation11.txt,36,35,1,0,0.0278
gpt-5,day5_consultation12.txt,44,42,1,1,0.0455
gpt-5-mini,day1_consultation02.txt,33,32,0,1,0.0303
gpt-5-mini,day1_consultation03.txt,33,33,0,0,0.0
gpt-5-mini,day1_consultation04.txt,29,29,0,0,0.0
gpt-5-mini,day1_consultation05.txt,29,27,1,1,0.069
gpt-5-mini,day1_consultation06.txt,30,29,1,0,0.0333
gpt-5-mini,day1_consultation07.txt,33,30,2,1,0.0909
gpt-5-mini,day1_consultation08.txt,28,25,3,0,0.1071
gpt-5-mini,day1_consultation09.txt,31,27,4,0,0.129
gpt-5-mini,day1_consultation10.txt,30,27,2,1,0.1
gpt-5-mini,day1_consultation11.txt,28,28,0,0,0.0
gpt-5-mini,day1_consultation12.txt,29,29,0,0,0.0
gpt-5-mini,day1_consultation13.txt,41,39,2,0,0.0488
gpt-5-mini,day1_consultation14.txt,39,36,3,0,0.0769
gpt-5-mini,day1_consultation15.txt,27,25,2,0,0.0741
gpt-5-mini,day2_consultation01.txt,18,14,4,0,0.2222
gpt-5-mini,day2_consultation02.txt,24,23,1,0,0.0417
gpt-5-mini,day2_consultation03.txt,33,32,1,0,0.0303
gpt-5-mini,day2_consultation04.txt,31,27,3,1,0.129
gpt-5-mini,day2_consultation06.txt,34,33,1,0,0.0294
gpt-5-mini,day2_consultation07.txt,34,30,2,2,0.1176
gpt-5-mini,day2_consultation08.txt,35,35,0,0,0.0
gpt-5-mini,day2_consultation09.txt,37,29,8,0,0.2162
gpt-5-mini,day2_consultation10.txt,30,30,0,0,0.0
gpt-5-mini,day3_consultation01.txt,23,19,4,0,0.1739
gpt-5-mini,day3_consultation02.txt,34,33,1,0,0.0294
gpt-5-mini,day3_consultation03.txt,30,29,1,0,0.0333
gpt-5-mini,day3_consultation04.txt,30,30,0,0,0.0
gpt-5-mini,day3_consultation05.txt,21,20,0,1,0.0476
gpt-5-mini,day3_consultation06.txt,20,15,3,2,0.25
gpt-5-mini,day3_consultation07.txt,26,22,2,2,0.1538
gpt-5-mini,day3_consultation08.txt,38,27,11,0,0.2895
gpt-5-mini,day3_consultation09.txt,32,30,2,0,0.0625
gpt-5-mini,day3_consultation10.txt,42,37,5,0,0.119
gpt-5-mini,day4_consultation01.txt,22,21,1,0,0.0455
gpt-5-mini,day4_consultation02.txt,31,23,6,2,0.2581
gpt-5-mini,day4_consultation03.txt,27,24,2,1,0.1111
gpt-5-mini,day4_consultation04.txt,21,19,1,1,0.0952
gpt-5-mini,day4_consultation05.txt,33,29,3,1,0.1212
gpt-5-mini,day4_consultation06.txt,24,24,0,0,0.0
gpt-5-mini,day4_consultation07.txt,36,32,3,1,0.1111
gpt-5-mini,day4_consultation08.txt,28,22,6,0,0.2143
gpt-5-mini,day4_consultation09.txt,28,27,1,0,0.0357
gpt-5-mini,day4_consultation10.txt,31,29,2,0,0.0645
gpt-5-mini,day5_consultation01.txt,38,33,5,0,0.1316
gpt-5-mini,day5_consultation02.txt,28,28,0,0,0.0
gpt-5-mini,day5_consultation03.txt,37,36,1,0,0.027
gpt-5-mini,day5_consultation04.txt,27,25,2,0,0.0741
gpt-5-mini,day5_consultation05.txt,30,29,1,0,0.0333
gpt-5-mini,day5_consultation06.txt,28,26,1,1,0.0714
gpt-5-mini,day5_consultation07.txt,46,40,6,0,0.1304
gpt-5-mini,day5_consultation08.txt,34,32,1,1,0.0588
gpt-5-mini,day5_consultation09.txt,39,33,6,0,0.1538
gpt-5-mini,day5_consultation10.txt,34,34,0,0,0.0
gpt-5-mini,day5_consultation11.txt,41,38,3,0,0.0732
gpt-5-mini,day5_consultation12.txt,46,42,3,1,0.087
gpt-5-nano,day1_consultation02.txt,36,35,1,0,0.0278
gpt-5-nano,day1_consultation03.txt,37,37,0,0,0.0
gpt-5-nano,day1_consultation04.txt,44,41,2,1,0.0682
gpt-5-nano,day1_consultation05.txt,29,27,0,2,0.069
gpt-5-nano,day1_consultation06.txt,41,39,1,1,0.0488
gpt-5-nano,day1_consultation07.txt,45,37,6,2,0.1778
gpt-5-nano,day1_consultation08.txt,27,24,3,0,0.1111
gpt-5-nano,day1_consultation09.txt,28,26,1,1,0.0714
gpt-5-nano,day1_consultation10.txt,41,37,4,0,0.0976
gpt-5-nano,day1_consultation11.txt,31,30,1,0,0.0323
gpt-5-nano,day1_consultation12.txt,31,28,3,0,0.0968
gpt-5-nano,day1_consultation13.txt,47,43,4,0,0.0851
gpt-5-nano,day1_consultation14.txt,49,46,3,0,0.0612
gpt-5-nano,day1_consultation15.txt,28,26,1,1,0.0714
gpt-5-nano,day2_consultation01.txt,26,22,4,0,0.1538
gpt-5-nano,day2_consultation02.txt,33,29,3,1,0.1212
gpt-5-nano,day2_consultation03.txt,30,26,4,0,0.1333
gpt-5-nano,day2_consultation04.txt,42,37,5,0,0.119
gpt-5-nano,day2_consultation06.txt,39,30,9,0,0.2308
gpt-5-nano,day2_consultation07.txt,35,30,4,1,0.1429
gpt-5-nano,day2_consultation08.txt,53,49,3,1,0.0755
gpt-5-nano,day2_consultation09.txt,40,37,3,0,0.075
gpt-5-nano,day2_consultation10.txt,53,50,3,0,0.0566
gpt-5-nano,day3_consultation01.txt,25,22,2,1,0.12
gpt-5-nano,day3_consultation02.txt,38,32,5,1,0.1579
gpt-5-nano,day3_consultation03.txt,33,27,2,4,0.1818
gpt-5-nano,day3_consultation04.txt,36,35,1,0,0.0278
gpt-5-nano,day3_consultation05.txt,42,37,4,1,0.119
gpt-5-nano,day3_consultation06.txt,18,14,3,1,0.2222
gpt-5-nano,day3_consultation07.txt,36,33,2,1,0.0833
gpt-5-nano,day3_consultation08.txt,40,38,2,0,0.05
gpt-5-nano,day3_consultation09.txt,48,36,8,4,0.25
gpt-5-nano,day3_consultation10.txt,32,25,6,1,0.2188
gpt-5-nano,day4_consultation01.txt,37,25,11,1,0.3243
gpt-5-nano,day4_consultation02.txt,44,39,3,2,0.1136
gpt-5-nano,day4_consultation03.txt,32,24,7,1,0.25
gpt-5-nano,day4_consultation04.txt,23,21,1,1,0.087
gpt-5-nano,day4_consultation05.txt,33,27,4,2,0.1818
gpt-5-nano,day4_consultation06.txt,31,28,2,1,0.0968
gpt-5-nano,day4_consultation07.txt,31,24,4,3,0.2258
gpt-5-nano,day4_consultation08.txt,43,31,12,0,0.2791
gpt-5-nano,day4_consultation09.txt,36,35,1,0,0.0278
gpt-5-nano,day4_consultation10.txt,26,25,1,0,0.0385
gpt-5-nano,day5_consultation01.txt,37,31,4,2,0.1622
gpt-5-nano,day5_consultation02.txt,53,48,5,0,0.0943
gpt-5-nano,day5_consultation03.txt,51,44,6,1,0.1373
gpt-5-nano,day5_consultation04.txt,34,26,5,3,0.2353
gpt-5-nano,day5_consultation05.txt,29,24,4,1,0.1724
gpt-5-nano,day5_consultation06.txt,46,44,1,1,0.0435
gpt-5-nano,day5_consultation07.txt,60,51,6,3,0.15
gpt-5-nano,day5_consultation08.txt,47,41,3,3,0.1277
gpt-5-nano,day5_consultation09.txt,43,37,6,0,0.1395
gpt-5-nano,day5_consultation10.txt,42,35,3,4,0.1667
gpt-5-nano,day5_consultation11.txt,59,53,6,0,0.1017
gpt-5-nano,day5_consultation12.txt,35,33,2,0,0.0571
notes_text,day1_consultation02.txt,32,32,0,0,0.0
notes_text,day1_consultation03.txt,33,30,2,1,0.0909
notes_text,day1_consultation04.txt,35,35,0,0,0.0
notes_text,day1_consultation05.txt,33,24,7,2,0.2727
notes_text,day1_consultation06.txt,72,67,3,2,0.0694
o3,day1_consultation02.txt,25,22,3,0,0.12
o3,day1_consultation03.txt,35,35,0,0,0.0
o3,day1_consultation04.txt,28,24,2,2,0.1429
o3,day1_consultation05.txt,39,35,3,1,0.1026
o3,day1_consultation06.txt,36,33,2,1,0.0833
o3,day1_consultation07.txt,41,35,5,1,0.1463
o3,day1_consultation08.txt,25,20,4,1,0.2
o3,day1_consultation09.txt,27,23,4,0,0.1481
o3,day1_consultation10.txt,33,28,5,0,0.1515
o3,day1_consultation11.txt,25,20,3,2,0.2
o3,day1_consultation12.txt,30,25,5,0,0.1667
o3,day1_consultation13.txt,38,33,4,1,0.1316
o3,day1_consultation14.txt,45,33,10,2,0.2667
o3,day1_consultation15.txt,33,29,4,0,0.1212
o3,day2_consultation01.txt,15,14,1,0,0.0667
o3,day2_consultation02.txt,34,32,2,0,0.0588
o3,day2_consultation03.txt,31,31,0,0,0.0
o3,day2_consultation04.txt,24,17,7,0,0.2917
o3,day2_consultation06.txt,21,17,4,0,0.1905
o3,day2_consultation07.txt,29,28,0,1,0.0345
o3,day2_consultation08.txt,30,26,2,2,0.1333
o3,day2_consultation09.txt,30,26,4,0,0.1333
o3,day2_consultation10.txt,32,29,3,0,0.0938
o3,day3_consultation01.txt,18,12,5,1,0.3333
o3,day3_consultation02.txt,38,25,13,0,0.3421
o3,day3_consultation03.txt,24,21,1,2,0.125
o3,day3_consultation04.txt,30,28,2,0,0.0667
o3,day3_consultation05.txt,20,20,0,0,0.0
o3,day3_consultation06.txt,20,18,2,0,0.1
o3,day3_consultation07.txt,31,27,4,0,0.129
o3,day3_consultation08.txt,30,21,8,1,0.3
o3,day3_consultation09.txt,35,27,7,1,0.2286
o3,day3_consultation10.txt,28,23,4,1,0.1786
o3,day4_consultation01.txt,32,27,3,2,0.1562
o3,day4_consultation02.txt,34,31,3,0,0.0882
o3,day4_consultation03.txt,24,21,2,1,0.125
o3,day4_consultation04.txt,17,14,1,2,0.1765
o3,day4_consultation05.txt,32,23,6,3,0.2812
o3,day4_consultation06.txt,30,27,2,1,0.1
o3,day4_consultation07.txt,29,26,2,1,0.1034
o3,day4_consultation08.txt,25,21,4,0,0.16
o3,day4_consultation09.txt,36,31,5,0,0.1389
o3,day4_consultation10.txt,27,22,3,2,0.1852
o3,day5_consultation01.txt,32,31,1,0,0.0312
o3,day5_consultation02.txt,29,27,2,0,0.069
o3,day5_consultation03.txt,27,24,3,0,0.1111
o3,day5_consultation04.txt,26,25,1,0,0.0385
o3,day5_consultation05.txt,27,26,1,0,0.037
o3,day5_consultation06.txt,37,34,2,1,0.0811
o3,day5_consultation07.txt,37,34,3,0,0.0811
o3,day5_consultation08.txt,34,34,0,0,0.0
o3,day5_consultation09.txt,31,25,6,0,0.1935
o3,day5_consultation10.txt,29,29,0,0,0.0
o3,day5_consultation11.txt,36,34,2,0,0.0556
o3,day5_consultation12.txt,21,20,1,0,0.0476
